imei,latitude,longitude,coordinates,datastatus,datastatus_description,hearttime_date,hearttime_time,hearttime_unix,status
355139085101514,11.536435,104.89906,"11.536435,104.89906",2,Online,2025-10-04,14:39:00,1759563540,success
355139085087457,10.62328,103.530539,"10.62328,103.530539",4,Offline,2025-10-04,06:58:06,1759535886,success
355139085096912,11.524517,104.827119,"11.524517,104.827119",4,Offline,2025-05-31,22:05:25,1748703925,success
355139085086798,10.626808,103.519177,"10.626808,103.519177",4,Offline,2025-10-04,14:12:12,1759561932,success
355139085086954,11.535864,104.928886,"11.535864,104.928886",2,Online,2025-10-04,14:39:22,1759563562,success
355139085086095,13.64784,102.5692,"13.64784,102.5692",4,Offline,2024-10-04,13:59:41,1728025181,success
355139085084736,11.538374,104.916373,"11.538374,104.916373",2,Online,2025-10-04,14:39:11,1759563551,success
355139084610283,11.360985,104.938814,"11.360985,104.938814",2,Online,2025-10-04,14:39:15,1759563555,success
355139085088356,10.634963,103.532664,"10.634963,103.532664",4,Offline,2025-10-04,13:02:02,1759557722,success
355139085083134,10.633835,103.554228,"10.633835,103.554228",4,Offline,2025-10-04,10:27:52,1759548472,success
355139085101308,11.551854,104.8718,"11.551854,104.8718",4,Offline,2024-09-21,10:47:22,1726890442,success
355139085085634,10.622065,103.524199,"10.622065,103.524199",2,Online,2025-10-04,14:39:10,1759563550,success
355139085095021,11.822674,104.95177,"11.822674,104.95177",2,Online,2025-10-04,14:39:19,1759563559,success
355139085087010,11.538224,104.883014,"11.538224,104.883014",4,Offline,2025-01-22,16:04:55,1737536695,success
355139085087317,11.501584,104.843837,"11.501584,104.843837",2,Online,2025-10-04,14:37:17,1759563437,success
355139085086848,11.514701,104.861485,"11.514701,104.861485",2,Online,2025-10-04,14:36:42,1759563402,success
355139085085766,11.548569,104.925112,"11.548569,104.925112",2,Online,2025-10-04,14:38:43,1759563523,success
355139085085865,11.502816,104.843661,"11.502816,104.843661",2,Online,2025-10-04,14:38:37,1759563517,success
355139085097159,11.563214,104.888272,"11.563214,104.888272",2,Online,2025-10-04,14:35:42,1759563342,success
355139085100441,11.575734,104.899544,"11.575734,104.899544",2,Online,2025-10-04,14:39:10,1759563550,success
355139085087473,12.486714,106.129044,"12.486714,106.129044",2,Online,2025-10-04,14:37:54,1759563474,success
355139085080205,11.790548,106.051832,"11.790548,106.051832",2,Online,2025-10-04,14:36:54,1759563414,success
355139085083423,10.621851,103.559983,"10.621851,103.559983",2,Online,2025-10-04,14:38:28,1759563508,success
355139084611307,11.536179,104.890601,"11.536179,104.890601",2,Online,2025-10-04,14:38:23,1759563503,success
355139085101928,11.552949,104.84129,"11.552949,104.84129",2,Online,2025-10-04,14:39:17,1759563557,success
355139085087606,11.547309,104.907952,"11.547309,104.907952",2,Online,2025-10-04,14:39:07,1759563547,success
355139085085048,11.806045,105.465492,"11.806045,105.465492",2,Online,2025-10-04,14:34:10,1759563250,success
355139085084066,13.661745,102.550694,"13.661745,102.550694",2,Online,2025-10-04,14:39:03,1759563543,success
355139084611034,11.395805,105.482607,"11.395805,105.482607",2,Online,2025-10-04,14:37:26,1759563446,success
355139085085097,13.648102,102.569366,"13.648102,102.569366",4,Offline,2024-09-16,10:26:36,1726457196,success
355139085085303,13.659344,102.566989,"13.659344,102.566989",4,Offline,2025-10-04,10:49:51,1759549791,success
355139085088661,11.067625,106.148494,"11.067625,106.148494",2,Online,2025-10-04,14:38:57,1759563537,success
355139085085931,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,success
355139085083787,10.586379,103.548803,"10.586379,103.548803",2,Online,2025-10-04,14:38:20,1759563500,success
355139085085147,13.678407,102.562937,"13.678407,102.562937",4,Offline,2025-09-10,17:35:20,1757500520,success
355139085083688,10.624215,103.564334,"10.624215,103.564334",2,Online,2025-10-04,14:39:16,1759563556,success
355139085101746,12.360042,106.47575,"12.360042,106.47575",4,Offline,2025-03-18,17:13:59,1742292839,success
355139085085246,11.536244,104.831615,"11.536244,104.831615",2,Online,2025-10-04,14:39:12,1759563552,success
355139085087655,11.521508,104.78187,"11.521508,104.78187",2,Online,2025-10-04,14:38:34,1759563514,success
355139085088042,13.675759,102.560943,"13.675759,102.560943",4,Offline,2025-09-02,09:53:13,1756781593,success
355139085104443,11.125543,105.705412,"11.125543,105.705412",2,Online,2025-10-04,14:37:49,1759563469,success
355139085093885,11.477607,104.957464,"11.477607,104.957464",2,Online,2025-10-04,14:37:57,1759563477,success
355139085088653,11.5406,104.879209,"11.5406,104.879209",4,Offline,2025-09-11,01:28:47,1757528927,success
355139085100839,11.537307,104.883135,"11.537307,104.883135",4,Offline,2024-09-11,14:01:17,1726038077,success
355139085087648,11.533627,104.8127,"11.533627,104.8127",4,Offline,2025-08-01,16:58:27,1754042307,success
355139085086376,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,success
355139085088372,13.676866,102.56234,"13.676866,102.56234",4,Offline,2025-09-19,16:30:27,1758274227,success
355139085087754,11.642983,102.91801,"11.642983,102.91801",2,Online,2025-10-04,14:38:37,1759563517,success
355139085086921,13.685114,102.594079,"13.685114,102.594079",4,Offline,2025-10-04,06:45:02,1759535102,success
355139085100284,13.659245,102.553508,"13.659245,102.553508",4,Offline,2025-10-03,23:13:19,1759507999,success
355139085087598,10.568597,103.558912,"10.568597,103.558912",2,Online,2025-10-04,14:36:55,1759563415,success
355139085100482,11.076184,106.169988,"11.076184,106.169988",4,Offline,2025-04-12,21:46:30,1744469190,success
355139085086111,13.637021,102.590054,"13.637021,102.590054",2,Online,2025-10-04,14:35:51,1759563351,success
355139085087036,10.589879,103.539378,"10.589879,103.539378",2,Online,2025-10-04,14:36:23,1759563383,success
355139085089040,10.598184,103.535847,"10.598184,103.535847",2,Online,2025-10-04,14:39:10,1759563550,success
355139085097480,11.561383,104.839256,"11.561383,104.839256",2,Online,2025-10-04,14:36:31,1759563391,success
355139085088695,11.545824,104.899297,"11.545824,104.899297",4,Offline,2025-08-30,12:14:38,1756530878,success
355139085101381,11.530984,104.864113,"11.530984,104.864113",4,Offline,2025-09-28,08:48:23,1759024103,success
355139085104591,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,success
355139085100425,11.560172,104.860708,"11.560172,104.860708",2,Online,2025-10-04,14:36:32,1759563392,success
355139085101936,11.51671,104.935943,"11.51671,104.935943",2,Online,2025-10-04,14:36:41,1759563401,success
355139085085394,10.635329,103.533924,"10.635329,103.533924",4,Offline,2025-08-28,15:15:33,1756368933,success
355139085085683,11.325575,104.67567,"11.325575,104.67567",2,Online,2025-10-04,14:33:39,1759563219,success
355139085085782,10.60854,103.539084,"10.60854,103.539084",4,Offline,2025-10-04,13:21:14,1759558874,success
355139085101589,10.634879,103.554377,"10.634879,103.554377",4,Offline,2025-10-04,14:26:52,1759562812,success
355139085095682,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,success
355139085089925,10.623097,103.53528,"10.623097,103.53528",2,Online,2025-10-04,14:30:15,1759563015,success
355139085088687,10.617904,103.52573,"10.617904,103.52573",4,Offline,2025-10-04,14:25:39,1759562739,success
355139085088463,10.624317,103.52112,"10.624317,103.52112",4,Offline,2025-10-04,13:12:22,1759558342,success
355139085080155,11.067485,104.680258,"11.067485,104.680258",2,Online,2025-10-04,14:36:46,1759563406,success
355139085083985,10.649571,103.517432,"10.649571,103.517432",2,Online,2025-10-04,14:38:56,1759563536,success
355139085098579,11.639575,104.881933,"11.639575,104.881933",2,Online,2025-10-04,14:37:51,1759563471,success
355139085095377,10.637594,103.531633,"10.637594,103.531633",4,Offline,2025-08-08,04:16:01,1754601361,success
355139085098199,11.223986,104.666427,"11.223986,104.666427",2,Online,2025-10-04,14:36:28,1759563388,success
355139085101035,13.628657,102.666821,"13.628657,102.666821",2,Online,2025-10-04,14:37:32,1759563452,success
355139085096771,11.590139,104.897565,"11.590139,104.897565",4,Offline,2025-07-08,19:18:54,1751977134,success
355139085087671,10.64801,103.516088,"10.64801,103.516088",2,Online,2025-10-04,14:35:58,1759563358,success
355139085094362,10.59828,103.627672,"10.59828,103.627672",4,Offline,2025-05-03,13:43:15,1746254595,success
355139085100458,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,success
355139085097894,13.670667,102.592604,"13.670667,102.592604",2,Online,2025-10-04,14:38:43,1759563523,success
355139085100516,10.629915,103.52048,"10.629915,103.52048",2,Online,2025-10-04,14:38:12,1759563492,success
355139085101142,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,success
355139085097514,11.611325,104.846543,"11.611325,104.846543",2,Online,2025-10-04,14:38:59,1759563539,success
355139085101365,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,success
355139085101480,10.569153,103.559439,"10.569153,103.559439",4,Offline,2025-10-04,13:28:29,1759559309,success
355139085096813,10.575335,103.550397,"10.575335,103.550397",4,Offline,2025-10-04,11:13:30,1759551210,success
355139085100607,11.593853,104.903166,"11.593853,104.903166",2,Online,2025-10-04,14:38:30,1759563510,success
355139085094750,11.556789,104.901758,"11.556789,104.901758",2,Online,2025-10-04,14:38:58,1759563538,success
355139085097407,10.621598,103.49895,"10.621598,103.49895",4,Offline,2025-10-04,14:26:31,1759562791,success
355139085097431,10.620372,103.510672,"10.620372,103.510672",4,Offline,2025-09-10,22:43:47,1757519027,success
355139085104583,11.507838,104.734909,"11.507838,104.734909",2,Online,2025-10-04,14:36:47,1759563407,success
355139085100615,11.551955,104.914022,"11.551955,104.914022",4,Offline,2025-03-14,06:12:15,1741907535,success
355139085100508,13.635934,102.583265,"13.635934,102.583265",2,Online,2025-10-04,14:37:22,1759563442,success
355139085097076,10.551704,103.562559,"10.551704,103.562559",2,Online,2025-10-04,14:36:50,1759563410,success
355139085096714,10.611134,103.537213,"10.611134,103.537213",4,Offline,2025-10-03,22:47:57,1759506477,success
355139085093760,11.502053,104.807839,"11.502053,104.807839",2,Online,2025-10-04,14:39:06,1759563546,success
355139085101159,10.618353,103.52191,"10.618353,103.52191",2,Online,2025-10-04,14:38:43,1759563523,success
355139085100409,10.624672,103.560676,"10.624672,103.560676",2,Online,2025-10-04,14:37:07,1759563427,success
355139084405007,11.545718,104.89936,"11.545718,104.89936",4,Offline,2025-03-04,16:22:38,1741080158,success
355139085096888,11.546638,104.918199,"11.546638,104.918199",2,Online,2025-10-04,14:39:01,1759563541,success
355139085096946,12.460452,104.446436,"12.460452,104.446436",2,Online,2025-10-04,14:38:58,1759563538,success
355139085094388,11.609084,104.858139,"11.609084,104.858139",4,Offline,2025-03-01,01:06:11,1740765971,success
355139085096805,11.536106,104.953586,"11.536106,104.953586",2,Online,2025-10-04,14:39:13,1759563553,success
355139085101027,10.637375,103.542562,"10.637375,103.542562",2,Online,2025-10-04,14:37:08,1759563428,success
355139085099056,11.517798,104.86277,"11.517798,104.86277",4,Offline,2025-10-04,10:49:47,1759549787,success
355139085096391,11.179262,104.646559,"11.179262,104.646559",4,Offline,2025-10-04,14:19:49,1759562389,success
355139085097290,12.015495,105.462589,"12.015495,105.462589",2,Online,2025-10-04,14:39:07,1759563547,success
355139085095567,11.567827,104.895638,"11.567827,104.895638",2,Online,2025-10-04,14:37:55,1759563475,success
355139085101944,11.24434,105.434979,"11.24434,105.434979",2,Online,2025-10-04,14:38:18,1759563498,success
355139085097092,10.627452,103.509074,"10.627452,103.509074",2,Online,2025-10-04,14:37:37,1759563457,success
355139085100797,11.642392,102.930664,"11.642392,102.930664",4,Offline,2025-07-05,09:31:36,1751682696,success
355139085098330,11.347474,105.306573,"11.347474,105.306573",2,Online,2025-10-04,14:36:53,1759563413,success
355139085096920,11.062687,106.121027,"11.062687,106.121027",2,Online,2025-10-04,14:33:41,1759563221,success
355139085081104,12.361627,105.095027,"12.361627,105.095027",2,Online,2025-10-04,14:36:53,1759563413,success
355139085097415,11.172869,104.863633,"11.172869,104.863633",2,Online,2025-10-04,14:38:15,1759563495,success
355139085097522,10.589345,103.541939,"10.589345,103.541939",4,Offline,2025-10-04,08:22:07,1759540927,success
355139085097175,10.621047,103.525846,"10.621047,103.525846",2,Online,2025-10-04,14:35:02,1759563302,success
355139085100524,13.66876,102.575123,"13.66876,102.575123",4,Offline,2025-08-26,03:59:14,1756155554,success
355139085100359,12.182854,105.128686,"12.182854,105.128686",4,Offline,2025-09-11,00:39:42,1757525982,success
355139085101316,10.620755,103.548099,"10.620755,103.548099",2,Online,2025-10-04,14:33:07,1759563187,success
355139085101332,10.602769,103.532874,"10.602769,103.532874",2,Online,2025-10-04,14:39:21,1759563561,success
355139085097647,10.633129,103.634382,"10.633129,103.634382",2,Online,2025-10-04,14:38:33,1759563513,success
355139085094636,10.623481,103.528966,"10.623481,103.528966",2,Online,2025-10-04,14:38:27,1759563507,success
355139085105036,10.619594,103.525022,"10.619594,103.525022",4,Offline,2025-10-04,13:51:13,1759560673,success
355139085100953,10.584605,103.549749,"10.584605,103.549749",2,Online,2025-10-04,14:38:42,1759563522,success
355139085097449,11.557462,104.874307,"11.557462,104.874307",2,Online,2025-10-04,14:37:08,1759563428,success
355139085101662,11.560252,104.894223,"11.560252,104.894223",4,Offline,2025-07-24,15:56:03,1753347363,success
355139085080056,11.570812,104.909852,"11.570812,104.909852",4,Offline,2025-06-28,17:37:09,1751107029,success
355139085101324,11.544307,104.893168,"11.544307,104.893168",2,Online,2025-10-04,14:36:39,1759563399,success
355139085100474,14.27319,104.092122,"14.27319,104.092122",2,Online,2025-10-04,14:39:10,1759563550,success
355139085098314,10.61109,103.533299,"10.61109,103.533299",4,Offline,2025-10-04,10:49:22,1759549762,success
355139085093539,10.624566,103.525462,"10.624566,103.525462",2,Online,2025-10-04,14:37:00,1759563420,success
355139085095906,11.569991,104.888146,"11.569991,104.888146",4,Offline,2024-10-30,16:32:32,1730280752,success
355139085093182,11.577589,104.880123,"11.577589,104.880123",2,Online,2025-10-04,14:32:59,1759563179,success
355139085101456,11.499171,104.804086,"11.499171,104.804086",2,Online,2025-10-04,14:37:19,1759563439,success
355139085100417,11.07087,106.167607,"11.07087,106.167607",2,Online,2025-10-04,14:37:11,1759563431,success
355139085094149,10.625166,103.561147,"10.625166,103.561147",4,Offline,2025-09-11,04:59:12,1757541552,success
355139085097126,11.244102,104.539712,"11.244102,104.539712",2,Online,2025-10-04,14:38:22,1759563502,success
355139085094768,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,success
355139085104641,13.677542,102.568342,"13.677542,102.568342",4,Offline,2025-10-04,06:37:04,1759534624,success
355139084612040,11.03743,106.113447,"11.03743,106.113447",2,Online,2025-10-04,14:38:59,1759563539,success
355139085101563,10.635488,103.51267,"10.635488,103.51267",4,Offline,2025-10-04,14:07:08,1759561628,success
355139085100961,11.429392,104.812667,"11.429392,104.812667",2,Online,2025-10-04,14:39:20,1759563560,success
355139085101910,10.628123,103.521004,"10.628123,103.521004",4,Offline,2025-06-21,06:59:56,1750463996,success
355139085101399,11.570112,104.922878,"11.570112,104.922878",2,Online,2025-10-04,14:35:29,1759563329,success
355139085101530,13.691095,102.57964,"13.691095,102.57964",2,Online,2025-10-04,14:37:16,1759563436,success
355139085096839,11.594647,104.860207,"11.594647,104.860207",4,Offline,2025-02-03,15:18:02,1738570682,success
355139085098124,10.637736,103.560148,"10.637736,103.560148",4,Offline,2025-05-25,08:46:58,1748137618,success
355139085097688,11.572985,104.922337,"11.572985,104.922337",2,Online,2025-10-04,14:39:04,1759563544,success
355139085101845,11.535908,104.846022,"11.535908,104.846022",4,Offline,2025-10-04,14:25:23,1759562723,success
355139085104476,10.629236,103.510815,"10.629236,103.510815",2,Online,2025-10-04,14:39:19,1759563559,success
355139085101373,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,success
355139085094495,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,success
355139085101068,13.604953,103.181384,"13.604953,103.181384",4,Offline,2025-10-03,06:27:54,1759447674,success
355139085098108,11.585743,104.916968,"11.585743,104.916968",2,Online,2025-10-04,14:39:23,1759563563,success
355139085099072,11.513026,104.757414,"11.513026,104.757414",2,Online,2025-10-04,14:38:59,1759563539,success
355139085095286,11.595905,104.802039,"11.595905,104.802039",2,Online,2025-10-04,14:39:15,1759563555,success
355139085098090,14.012964,103.653687,"14.012964,103.653687",4,Offline,2025-09-11,03:32:47,1757536367,success
355139085101340,10.621244,103.524682,"10.621244,103.524682",4,Offline,2025-10-04,13:54:35,1759560875,success
355139084614954,11.342035,104.667571,"11.342035,104.667571",2,Online,2025-10-04,14:37:12,1759563432,success
355139085099130,11.631012,104.937125,"11.631012,104.937125",2,Online,2025-10-04,14:36:59,1759563419,success
355139085097472,11.48281,104.919709,"11.48281,104.919709",4,Offline,2024-12-19,16:46:54,1734601614,success
355139085100938,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,success
355139085096367,10.64303,103.514152,"10.64303,103.514152",2,Online,2025-10-04,14:38:38,1759563518,success
355139085096748,11.595085,104.911299,"11.595085,104.911299",2,Online,2025-10-04,14:39:05,1759563545,success
355139085095278,11.785287,105.837077,"11.785287,105.837077",4,Offline,2025-09-10,23:34:36,1757522076,success
355139085094321,11.813683,104.750656,"11.813683,104.750656",2,Online,2025-10-04,14:39:13,1759563553,success
355139085098173,11.61439,104.861322,"11.61439,104.861322",2,Online,2025-10-04,14:37:32,1759563452,success
355139085101449,11.580829,104.910124,"11.580829,104.910124",2,Online,2025-10-04,14:36:56,1759563416,success
355139085101084,10.775664,104.412567,"10.775664,104.412567",4,Offline,2024-12-03,16:25:27,1733217927,success
355139085104492,11.56971,102.955532,"11.56971,102.955532",2,Online,2025-10-04,14:38:10,1759563490,success
355139085090337,10.600894,103.533507,"10.600894,103.533507",2,Online,2025-10-04,14:36:35,1759563395,success
355139085096730,10.579136,103.548229,"10.579136,103.548229",2,Online,2025-10-04,14:39:17,1759563557,success
355139085097266,11.545852,104.899151,"11.545852,104.899151",4,Offline,2025-03-13,22:05:35,1741878335,success
355139085097530,13.361428,103.846984,"13.361428,103.846984",4,Offline,2024-10-13,14:25:50,1728804350,success
355139085101787,13.66254,102.58224,"13.66254,102.58224",4,Offline,2025-10-02,20:23:19,1759411399,success
355139085097241,10.634927,103.53211,"10.634927,103.53211",4,Offline,2025-03-28,14:40:35,1743147635,success
355139084611893,10.613562,103.528179,"10.613562,103.528179",4,Offline,2025-09-10,22:50:52,1757519452,success
355139085101415,13.591898,102.634857,"13.591898,102.634857",2,Online,2025-10-04,14:38:10,1759563490,success
355139085097464,11.482134,104.815289,"11.482134,104.815289",2,Online,2025-10-04,14:37:31,1759563451,success
355139085097100,13.349575,103.833144,"13.349575,103.833144",2,Online,2025-10-04,14:39:00,1759563540,success
355139085100375,11.918822,105.356942,"11.918822,105.356942",2,Online,2025-10-04,14:38:51,1759563531,success
355139085094966,12.86532,102.592204,"12.86532,102.592204",4,Offline,2024-08-13,12:37:18,1723527438,success
355139085096649,10.626525,103.528389,"10.626525,103.528389",2,Online,2025-10-04,14:38:37,1759563517,success
355139085097043,11.53639,104.862313,"11.53639,104.862313",2,Online,2025-10-04,14:37:29,1759563449,success
355139085095302,10.611174,103.5371,"10.611174,103.5371",2,Online,2025-10-04,14:35:23,1759563323,success
355139085101464,11.567224,104.864217,"11.567224,104.864217",2,Online,2025-10-04,14:39:07,1759563547,success
355139085101357,11.571399,104.863269,"11.571399,104.863269",2,Online,2025-10-04,14:36:59,1759563419,success
355139085097779,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,success
355139085098322,13.659477,102.552757,"13.659477,102.552757",4,Offline,2025-10-04,13:28:45,1759559325,success
355139085100383,11.052687,106.095589,"11.052687,106.095589",2,Online,2025-10-04,14:39:02,1759563542,success
355139085104658,13.683288,102.571907,"13.683288,102.571907",4,Offline,2025-10-04,09:56:27,1759546587,success
355139085104518,10.884697,104.648775,"10.884697,104.648775",2,Online,2025-10-04,14:38:30,1759563510,success
355139085097928,10.988644,104.778525,"10.988644,104.778525",4,Offline,2025-01-17,14:23:39,1737098619,success
355139085104484,13.656898,102.595457,"13.656898,102.595457",4,Offline,2025-10-04,13:56:16,1759560976,success
355139085088471,11.520586,104.918862,"11.520586,104.918862",4,Offline,2025-02-17,16:31:52,1739784712,success
355139085096763,11.072142,106.151381,"11.072142,106.151381",4,Offline,2025-05-04,16:05:44,1746349544,success
355139085093877,11.526264,104.921183,"11.526264,104.921183",4,Offline,2024-08-10,16:13:49,1723281229,success
355139085094743,13.67624,102.561809,"13.67624,102.561809",4,Offline,2025-10-04,09:54:22,1759546462,success
355139085094297,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,success
355139084612255,11.555994,104.938834,"11.555994,104.938834",4,Offline,2024-11-20,04:39:44,1732052384,success
355139085090188,10.630875,103.508959,"10.630875,103.508959",2,Online,2025-10-04,14:37:49,1759563469,success
355139085098256,13.669128,102.575664,"13.669128,102.575664",4,Offline,2025-10-04,07:46:29,1759538789,success
355139085090402,10.630952,103.508918,"10.630952,103.508918",2,Online,2025-10-04,14:38:56,1759563536,success
355139085104526,10.610814,103.538814,"10.610814,103.538814",4,Offline,2025-10-04,11:43:17,1759552997,success
355139085100433,11.583014,104.829638,"11.583014,104.829638",2,Online,2025-10-04,14:37:21,1759563441,success
355139085093950,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,success
355139085100300,11.674381,105.07607,"11.674381,105.07607",4,Offline,2025-01-31,07:49:12,1738284552,success
355139085101522,11.594277,104.86015,"11.594277,104.86015",4,Offline,2024-12-23,16:33:38,1734946418,success
355139085094594,12.935921,102.53081,"12.935921,102.53081",4,Offline,2025-10-04,13:12:41,1759558361,success
355139085095435,12.937763,102.539448,"12.937763,102.539448",4,Offline,2025-10-04,14:11:24,1759561884,success
355139085095344,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,success
355139085101670,13.674852,102.566664,"13.674852,102.566664",4,Offline,2025-10-04,13:55:29,1759560929,success
355139085097662,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,success
355139085097183,11.539672,104.817272,"11.539672,104.817272",4,Offline,2025-09-01,02:55:24,1756670124,success
355139085095153,11.553098,104.939148,"11.553098,104.939148",2,Online,2025-10-04,14:39:21,1759563561,success
355139085095260,13.676129,102.561798,"13.676129,102.561798",4,Offline,2025-08-07,18:12:09,1754565129,success
355139085096821,13.679594,102.563466,"13.679594,102.563466",4,Offline,2025-10-04,09:48:14,1759546094,success
355139085087739,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,success
355139085094602,13.6901,102.578987,"13.6901,102.578987",4,Offline,2025-02-11,14:21:57,1739258517,success
355139085089768,0,0,"0,0",1,Never online,2013-12-31,23:00:00,1388505600,success
355139085101548,12.038497,105.195868,"12.038497,105.195868",4,Offline,2025-10-04,14:17:34,1759562254,success
355139085101597,11.521549,104.817309,"11.521549,104.817309",2,Online,2025-10-04,14:39:10,1759563550,success
355139085094305,13.664692,102.589057,"13.664692,102.589057",4,Offline,2024-10-27,13:24:20,1730010260,success
355139085098546,11.532154,104.88747,"11.532154,104.88747",2,Online,2025-10-04,14:39:20,1759563560,success
355139085095237,10.652749,103.523328,"10.652749,103.523328",2,Online,2025-10-04,14:37:15,1759563435,success
