bajajtrack(5000),IMEI
308,355139085094453
309,355139085097670
310,355139085097597
311,355139085094792
312,355139085095294
313,355139085101647
314,355139085097191
315,355139085097001
316,355139085094818
317,355139085095781
318,355139085094511
319,355139085097142
320,355139085101407
321,355139085095856
322,355139085101225
323,355139085095773
324,355139085097910
325,355139085101175
326,355139085097704
327,355139085094727
328,355139085096789
329,355139085094586
330,355139085097050
331,355139085096581
332,355139085094008
333,355139085097027
334,355139085095971
335,355139085094685
336,355139084614939
337,355139085095401
338,355139085094974
339,355139085101829
340,355139085094057
341,355139085095179
342,355139085101613
343,355139085095146
344,355139085094065
345,355139084614657
346,355139084611885
347,355139085094370
348,355139085095005
349,355139085096680
350,355139085095476
351,355139085094719
352,355139085094404
353,355139084614681
354,355139085095989
355,355139085097589
356,355139085095393
357,355139085094735
358,355139085094420
359,355139085094438
360,355139084611075
361,355139085097423
362,355139085093984
363,355139085096607
364,355139085094107
365,355139085094032
366,355139085095849
367,355139085095211
368,355139085095427
369,355139084414447
370,355139085094180
371,355139085094701
372,355139085095070
373,355139085094958
374,355139085096979
375,355139085094875
376,355139085095575
377,355139085094925
378,355139085094610
379,355139085095880
380,355139085097399
381,355139085093141
382,355139085095039
383,355139085090501
384,355139085094693
385,355139085101282
386,355139085096615
387,355139085095484
388,355139085094073
389,355139085095666
390,355139085100870
391,355139084608121
392,355139085079397
393,355139085097357
394,355139085097340
395,355139085095617
396,355139085094842
397,355139085094347
398,355139084612099
399,355139085096243
400,355139084614889
401,355139085096631
402,355139085096599
403,355139085094222
404,355139085094198
405,355139085094941
406,355139085095823
407,355139085093802
408,355139085094628
409,355139085094545
410,355139085097936
411,355139085095492
412,355139085095898
413,355139085097332
414,355139085101266
415,355139085097571
416,355139085094248
417,355139084606380
418,355139085094255
419,355139084616348
420,355139085093927
421,355139085093976
422,355139085097498
423,355139085095658
424,355139084606497
425,355139085096722
426,355139085093935
427,355139085101191
428,355139085095252
429,355139085101209
430,355139085096276
431,355139085095815
432,355139085094271
433,355139084616496
434,355139084606844
435,355139085094131
436,355139085100912
437,355139085101100
438,355139084616181
439,355139085101506
440,355139085101019
441,355139084373551
442,355139085095229
443,355139085100979
444,355139085097985
445,355139084610747
446,355139085097365
447,355139085102074
448,355139085100904
449,355139084618740
450,355139085095187
451,355139085097613
452,355139085100987
453,355139085095864
454,355139085100805
455,355139085101795
456,355139085101274
457,355139085101704
458,355139085095468
459,355139084607677
460,355139085098298
461,355139085101761
462,355139084618781
463,355139085079389
464,355139084610515
465,355139085100813
466,355139085095054
467,355139085101837
468,355139085094651
469,355139085095328
470,355139085100847
471,355139085096672
472,355139085094172
473,355139085097605
474,355139085094487
475,355139085095914
476,355139085096953
477,355139085095831
478,355139085101126
479,355139085094552
480,355139085095807
481,355139084606760
482,355139085097746
483,355139085100789
484,355139085101233
485,355139085101217
486,355139085093786
487,355139085097860
488,355139085100920
489,355139085101258
490,355139085094933
491,355139084610432
492,355139084610408
493,355139085097316
494,355139085097803
495,355139085097944
496,355139084615209
497,355139085094461
498,355139085100946
499,355139085100896
500,355139085093992
501,355139085102066
502,355139085094784
503,355139085080171
504,355139085097886
505,355139084608089
506,355139085101001
507,355139084611661
508,355139085094891
509,355139084610564
510,355139085101118
511,355139085097878
512,355139084611489
513,355139085095013
514,355139084607461
515,355139085101688
516,355139084611869
517,355139085097753
518,355139084615233
519,355139085101738
520,355139085093869
521,355139085101183
522,355139084610788
523,355139085101431
524,355139085094776
525,355139085095062
526,355139084614632
527,355139085101167
528,355139085093794
529,355139085095088
530,355139085094214
531,355139085094800
532,355139084614202
533,355139084607685
534,355139084603296
535,355139084610960
536,355139084610820
537,355139084614335
538,355139084614749
539,355139084611208
540,355139084614608
541,355139084611380
542,355139084610440
543,355139084610689
544,355139084614269
545,355139084610291
546,355139084608048
547,355139085095203
548,355139085097795
549,355139084614194
550,355139084610507
551,355139085095195
552,355139084614715
553,355139084610457
554,355139085101811
555,355139085101852
556,355139085101076
557,355139085097621
558,355139084614087
559,355139084418356
560,355139084614095
561,355139084614137
562,355139084610994
563,355139084611901
564,355139084614731
565,355139084612172
566,355139084614756
567,355139084614913
568,355139084614541
569,355139084607578
570,355139085078944
571,355139085101134
572,355139084610697
573,355139085094982
574,355139084614855
575,355139084611125
576,355139085095518
577,355139085094677
578,355139084611281
579,355139084613964
580,355139084614475
581,355139084614509
582,355139085094644
583,355139085095559
584,355139084614566
585,355139084610929
586,355139084614582
587,355139084615027
588,355139084611059
589,355139084614129
590,355139084611455
591,355139084606836
592,355139085095112
593,355139085095245
594,355139084610309
595,355139084614384
596,355139084610424
597,355139084610366
598,355139084614079
599,355139084615217
600,355139084608295
601,355139084612057
602,355139084606786
603,355139084614764
604,355139085095948
605,355139084606521
606,355139084606034
607,355139084614319
608,355139084610218
609,355139084605903
610,355139084611091
611,355139084611737
612,355139084614434
613,355139084607883
614,355139084418547
615,355139084615001
616,355139084611224
617,355139084610390
618,355139084614145
619,355139084614871
620,355139084606430
621,355139084608105
622,355139084610655
623,355139084608113
624,355139084611687
625,355139084614244
626,355139084611653
627,355139084608097
628,355139084616215
629,355139084607727
630,355139084610358
631,355139084614111
632,355139084610226
633,355139084608337
634,355139084610606
635,355139084606513
636,355139084607859
637,355139084613998
638,355139084608139
639,355139084612164
640,355139084610341
641,355139084614806
642,355139084614558
643,355139084611216
644,355139084610499
645,355139084614178
646,355139084611927
647,355139084610531
648,355139084610648
649,355139084610325
650,355139084611547
651,355139084610317
652,355139084611778
653,355139084608329
654,355139084610333
655,355139084606885
656,355139084614640
657,355139084614665
658,355139084606893
659,355139084607560
660,355139084607669
661,355139084610721
662,355139084611505
663,355139084610903
664,355139084606828
665,355139084612222
666,355139084610572
667,355139084607008
668,355139084611471
669,355139084611356
670,355139084612032
671,355139084611083
672,355139084619292
673,355139084600623
674,355139084611349
675,355139084616330
676,355139084612149
677,355139084606539
678,355139084605382
679,355139084605465
680,355139084611588
681,355139084614053
682,355139084602272
683,355139084605010
684,355139084610580
685,355139084612073
686,355139084606794
687,355139084610739
688,355139084612008
689,355139084612206
690,355139084604989
691,355139084607909
692,355139084605069
693,355139084611265
694,355139084607784
695,355139084606422
696,355139084611463
697,355139084611554
698,355139084614772
699,355139084613865
700,355139084606471
701,355139084610754
702,355139084611117
703,355139084607453
704,355139084612180
705,355139084615225
706,355139084611398
707,355139084611703
708,355139084614251
709,355139084614814
710,355139084611067
711,355139084611596
712,355139084614699
713,355139084606448
714,355139084604765
715,355139084611802
716,355139084611406
717,355139084606414
718,355139084608055
719,355139084611414
720,355139084610812
721,355139084611299
722,355139084369955
723,355139084611562
724,355139084606331
725,355139084610838
726,355139084611935
727,355139084611943
728,355139084611166
729,355139084606091
730,355139084606026
731,355139084606406
732,355139084604948
733,355139084611018
734,355139084607982
735,355139084605390
736,355139084613832
737,355139084610416
738,355139084606307
739,355139084611000
740,355139084604732
741,355139084606323
742,355139084604872
743,355139084614038
744,355139084604997
745,355139084611984
746,355139084611646
747,355139084611273
748,355139084606281
749,355139084605077
750,355139084608063
751,355139084614467
752,355139084611158
753,355139084615191
754,355139084616504
755,355139084604906
756,355139084614574
757,355139084607719
758,355139084608402
759,355139084607826
760,355139084610036
761,355139084608071
762,355139084611422
763,355139084614798
764,355139084614723
765,355139084610804
766,355139084611976
767,355139084612016
768,355139084610986
769,355139084404588
770,355139084611026
771,355139084611364
772,355139084606356
773,355139084614483
774,355139084612123
775,355139084606315
776,355139084610556
777,355139084610135
778,355139084607974
779,355139084610945
780,355139084609673
781,355139084610911
782,355139084607776
783,355139084614301
784,355139084614343
785,355139084610895
786,355139084610887
787,355139084614186
788,355139084607875
789,355139084601159
790,355139084614418
791,355139084608279
792,355139084613659
793,355139084606372
794,355139084615019
795,355139084611729
796,355139084614004
797,355139084611372
798,355139084610879
799,355139084614616
800,355139084610630
801,355139084607750
802,355139084610853
803,355139084614392
804,355139084612214
805,355139084625612
806,355139084610622
807,355139084614525
808,355139084614905
809,355139084609236
810,355139084610549
811,355139084609905
812,355139084614996
813,355139084623542
814,355139084611877
815,355710090234886
816,355139084611836
817,355139084606877
818,355139084614350
819,355139084605127
820,355139084614590
821,355139084612107
822,355139084605689
823,355139084610937
824,355139084606463
825,355139084610770
826,355139084611190
827,355139084611174
828,355139084611323
829,355139084609327
830,355139084605655
831,355139084611679
832,355139084609376
833,355139084371274
834,355139084605838
835,355139084605911
836,355139084614921
837,355139084610671
838,355139084614822
839,355139084605341
840,355139084605267
841,355139084607701
842,355139084605945
843,355139084609855
844,355139084611141
845,355139084606869
846,355139084614988
847,355139084607586
848,355139084610200
849,355139084614061
850,355139084606489
851,355139084607735
852,355139084614533
853,355139084606299
854,355139084609632
855,355139084606505
856,355139084610598
857,355139084607842
858,355139084611919
859,355139084614780
860,355139084605622
861,355139084605929
862,355139084609178
863,355139084609251
864,355139084606067
865,355139084606455
866,355139084606778
867,355139084609335
868,355139084611331
869,355139084611786
870,355139084611513
871,355139084398822
872,355139084606109
873,355139084606075
874,355139084612263
875,355139084609806
876,355139084609590
877,355139084366209
878,355139084605697
879,355139084618898
880,355139084605481
881,355139084610614
882,355139084609798
883,355139084398814
884,355139084606083
885,355139084605556
886,355139084611844
887,355139084607768
888,355139084603320
889,355139084611612
890,355139084611950
891,355139084605747
892,355139084611695
893,355139084609418
894,355139084608394
895,355139084618682
896,355139084610762
897,355139084630117
898,355139084611638
899,355139084610465
900,355139084608022
901,355139084625166
902,355139084610267
903,355139084609913
904,355139084603429
905,355139084610374
906,355139084605473
907,355139084611042
908,355139084610663
909,355139084629515
910,355139084607941
911,355139084613857
912,355139084608030
913,355139084614400
914,355139084610481
915,355139084611711
916,355139084606125
917,355139084417192
918,355139084607800
919,355139084604583
920,355139084610713
921,355139084611745
922,355139084607743
923,355139084605663
924,355139084609467
925,355139084605614
926,355139084604724
927,355139084604567
928,355139084611752
929,355139084609780
930,355139084610002
931,355139084610150
932,355139084605325
933,355139084608154
934,355139084629911
935,355139084611810
936,355139084404570
937,355139084611760
938,355139084612024
939,355139084611570
940,355139084612131
941,355139084609640
942,355139084606174
943,355139084401410
944,355139084605432
945,355139084611794
946,355139084610705
947,355139084609541
948,355139084605853
949,355139084607933
950,355139084609681
951,355139084609426
952,355139084611539
953,355139084611828
954,355139084611604
955,355139084610234
956,355139084611620
957,355139084609939
958,355139084609731
959,355139084605523
960,355139084605333
961,355139084405130
962,355139084611497
963,355139084616231
964,355139084609863
965,355139084605424
966,355139084607958
967,355139084609699
968,355139084609830
969,355139084606141
970,355139084609194
971,355139084605606
972,355139084605978
973,355139084606224
974,355139084605630
975,355139084609434
976,355139084606190
977,355139084629804
978,355139084624219
979,355139084605085
980,355139084609228
981,355139084609517
982,355139084609566
983,355139084609509
984,355139084607834
985,355139084605812
986,355139084398855
987,355139084609210
988,355139084609384
989,355139084629465
990,355139084609947
991,355139084616223
992,355139084609582
993,355139084609608
994,355139084605408
995,355139084609343
996,355139084609186
997,355139084610044
998,355139084630414
999,355139084605143
1000,355139084607792
1001,355139084610143
1002,355139084609400
1003,355139084605846
1004,355139084609616
1005,355139084606018
1006,355139084629952
1007,355139084609624
1008,355139084610259
1009,355139084610168
1010,355139084609970
1011,355139084609921
1012,355139084609244
1013,355139084605242
1014,355139084605671
1015,355139084604542
1016,355139084610192
1017,355139084609715
1018,355139084605051
1019,355139084605580
1020,355139084605879
1021,355139084608006
1022,355139084609707
1023,355139084616314
1024,355139084607917
1025,355139084610051
1026,355139084615787
1027,355139084609665
1028,355139084605804
1029,355139084630539
1030,355139084605762
1031,355139084605531
1032,355139084610275
1033,355139084630109
1034,355139084606182
1035,355139084609996
1036,355139084609483
1037,355139084609889
1038,355139084609723
1039,355139084605986
1040,355139084609525
1041,355139084621272
1042,355139084615290
1043,355139084605440
1044,355139084605739
1045,355139084616546
1046,355139084609392
1047,355139084615241
1048,355139084618831
1049,355139084404653
1050,355139084605457
1051,355139084618906
1052,355139084606257
1053,355139084610119
1054,355139084605499
1055,355139084615910
1056,355139084623450
1057,355139084605366
1058,355139084625554
1059,355139084625042
1060,355139084605507
1061,355139084625547
1062,355139084605754
1063,355139084609558
1064,355139084609160
1065,355139084609988
1066,355139084603684
1067,355139084618690
1068,355139084605861
1069,355139084610101
1070,355139084605358
1071,355139084605796
1072,355139084615845
1073,355139084630182
1074,355139084615779
1075,355139084625265
1076,355139084609772
1077,355139084630612
1078,355139084606042
1079,355139084625638
1080,355139084618815
1081,355139084609459
1082,355139084609954
1083,355139084625273
1084,355139084629143
1085,355139084605416
1086,355139084629796
1087,355139084605309
1088,355139084609533
1089,355139084606158
1090,355139084609657
1091,355139084610093
1092,355139084616090
1093,355139084608261
1094,355139084618823
1095,355139084605184
1096,355139084630521
1097,355139084605648
1098,355139084624052
1099,355139084630471
1100,355139084609822
1101,355139084625414
1102,355139084618674
1103,355139084605259
1104,355139084619045
1105,355139084609475
1106,355139084605515
1107,355139084610127
1108,355139084610184
1109,355139084618625
1110,355139084609897
1111,355139084606166
1112,355139084606000
1113,355139084609814
1114,355139084609962
1115,355139084609764
1116,355139084616108
1117,355139084606117
1118,355139084610010
1119,355139084609848
1120,355139084616074
1121,355139084414322
1122,355139084610176
1123,355139084610069
1124,355139084606232
1125,355139084615803
1126,355139084615746
1127,355139084625034
1128,355139084625489
1129,355139084606240
1130,355139084621264
1131,355139084621439
1132,355139084609871
1133,355139084609442
1134,355139084603726
1135,355139084608147
1136,355139084606059
1137,355710090551800
1138,355139084616058
1139,355139084607990
1140,355139084615738
1141,355139084625257
1142,355139084618807
1143,355139084616124
1144,355139084605317
1145,355139084615134
1146,355139084618559
1147,355139084630018
1148,355139084625299
1149,355139084618716
1150,355139084625240
1151,355139084606133
1152,355139084616017
1153,355139084624789
1154,355139084615860
1155,355139084618971
1156,355139084609749
1157,355139084630380
1158,355139084625471
1159,355139084629887
1160,355139084615977
1161,355139084623419
1162,355139084630463
1163,355139084608014
1164,355139084616132
1165,355139084625331
1166,355139084630331
1167,355139084630356
1168,355139084628335
1169,355139084618765
1170,355139084618542
1171,355139084629283
1172,355139084625133
1173,355139084619003
1174,355139084616371
1175,355139084629572
1176,355139084630349
1177,355139084618773
1178,355139084619029
1179,355139084619011
1180,355139084618864
1181,355139084629978
1182,355139084618955
1183,355139084630141
1184,355139084616066
1185,355139084621223
1186,355139084610085
1187,355139084629473
1188,355139084618658
1189,355139084617213
1190,355139084618757
1191,355139084621371
1192,355139084625646
1193,355139084618856
1194,355139084630646
1195,355139084630208
1196,355139084619037
1197,355139084623807
1198,355139084618849
1199,355139084621975
1200,355139084623898
1201,355139084630554
1202,355139084629390
1203,355139084630448
1204,355139084616355
1205,355139084629523
1206,355139084616140
1207,355139084616199
1208,355139084624201
1209,355139084625216
1210,355139084630422
1211,355139084615936
1212,355139084629499
1213,355139084615886
1214,355139084621603
1215,355139084630034
1216,355139084630562
1217,355710090540639
1218,355139084629945
1219,355139084616256
1220,355139084629895
1221,355139084618666
1222,355139084629382
1223,355139084629432
1224,355139084618914
1225,355139084630067
1226,355139084615563
1227,355139084624029
1228,355139084625018
1229,355139084625190
1230,355139084629671
1231,355139084629176
1232,355139084630323
1233,355139084630075
1234,355139084623880
1235,355139084630505
1236,355139084623856
1237,355139084615928
1238,355139084615753
1239,355139084629861
1240,355139084615571
1241,355139084629267
1242,355139084616249
1243,355139084630489
1244,355139084629705
1245,355139084625505
1246,355139084624193
1247,355139084618591
1248,355139084629853
1249,355139084630620
1250,355139084616165
1251,355139084625208
1252,355139084624003
1253,355139084629564
1254,355139084615761
1255,355139084624110
1256,355139084629663
1257,355139084615985
1258,355139084623633
1259,355139084615902
1260,355139084623054
1261,355139084616363
1262,355139084621991
1263,355139084625026
1264,355139084629770
1265,355139084616009
1266,355139084616322
1267,355139084630570
1268,355139084616116
1269,355139084616207
1270,355139084615969
1271,355139084629341
1272,355139084630513
1273,355139084618930
1274,355139084616033
1275,355139084629838
1276,355139084629556
1277,355139084619516
1278,355139084618948
1279,355139084630661
1280,355139084618732
1281,355139084629986
1282,355139084612461
1283,355139084629655
1284,355139084615894
1285,355139084629846
1286,355139084616173
1287,355139084615944
1288,355139084629713
1289,355139084625158
1290,355139084615837
1291,355139084630588
1292,355139084630091
1293,355139084615829
1294,355139084625539
1295,355139084624227
1296,355139084616280
1297,355139084615555
1298,355139084615068
1299,355139084625141
1300,355139084615076
1301,355139084629689
1302,355139084629721
1303,355139084629960
1304,355139084623864
1305,355139084618583
1306,355139084621454
1307,355139084625182
1308,355139084625174
1309,355139084625315
1310,355139084629374
1311,355139084628319
1312,355139084405825
1313,355139084629549
1314,355139084623815
1315,355139084621322
1316,355139084629788
1317,355139084405114
1318,355139084624896
1319,355139084630604
1320,355139084625281
1321,355139084621397
1322,355139084621207
1323,355139084622627
1324,355139084629929
1325,355139084618567
1326,355139084625455
1327,355139084630455
1328,355139084623906
1329,355139084624060
1330,355139084616264
1331,355139084615712
1332,355139084625232
1333,355139084629291
1334,355139084615795
1335,355139084629697
1336,355139084625604
1337,355139084624128
1338,355139084622049
1339,355139084623872
1340,355139084623948
1341,355139084404745
1342,355139084615050
1343,355139084405940
1344,355139084625513
1345,355139084615878
1346,355139084623104
1347,355139084621389
1348,355139084372710
1349,355139084623930
1350,355139084630083
1351,355139084616678
1352,355139084625653
1353,355139084625323
1354,355139084630679
1355,355139084629812
1356,355139084630687
1357,355139084621298
1358,355139084615654
1359,355139084403218
1360,355139084615092
1361,355139084621967
1362,355139084629903
1363,355139084629309
1364,355139084629234
1365,355139084622783
1366,355139084414611
1367,355139084616645
1368,355139084625307
1369,355139084616272
1370,355139084630364
1371,355139084404836
1372,355139084625125
1373,355139084621942
1374,355139084616686
1375,355139084625562
1376,355139084406609
1377,355139084625224
1378,355139084615811
1379,355139084372579
1380,355139084630000
1381,355139084616579
1382,355139084616538
1383,355139084625570
1384,355139084630190
1385,355139084625620
1386,355139084616512
1387,355139084630638
1388,355139084625588
1389,355139084622593
1390,355139084622080
1391,355139084616561
1392,355139084625596
1393,355139084623625
1394,355139084415113
1395,355139084625430
1396,355139084405148
1397,355139084629457
1398,355139084630026
1399,355139084629218
1400,355139084629333
1401,355139084615704
1402,355139084630547
1403,355139084417325
1404,355139084403101
1405,355139084615720
1406,355139084366381
1407,355139084622122
1408,355139084615522
1409,355139084414595
1410,355139084625398
1411,355139084616041
1412,355139084629408
1413,355139084618708
1414,355139084405536
1415,355139084405593
1416,355139084403796
1417,355139084629416
1418,355139084623112
1419,355139084619060
1420,355139084616082
1421,355139084615696
1422,355139084615472
1423,355139084616298
1424,355139084629580
1425,355139084405551
1426,355139084615993
1427,355139084414561
1428,355139084629358
1429,355139084404828
1430,355139084616405
1431,355139084406799
1432,355139084616470
1433,355139084622056
1434,355139084624417
1435,355139084414587
1436,355139084405809
1437,355139084629259
1438,355139084618724
1439,355139084630695
1440,355139084616660
1441,355139084629739
1442,355139084616488
1443,355139084630653
1444,355139084621983
1445,355139084625521
1446,355139084625463
1447,355139084625661
1448,355139084398913
1449,355139084622015
1450,355139084406757
1451,355139084407359
1452,355139084415006
1453,355139084415188
1454,355139084624953
1455,355139084415089
1456,355139084629226
1457,355139084618617
1458,355139084405791
1459,355139084629630
1460,355139084414603
1461,355139084618872
1462,355139084629648
1463,355139084405486
1464,355139084621934
1465,355139084625067
1466,355139084405569
1467,355139084373650
1468,355139084616454
1469,355139084616652
1470,355139084618989
1471,355139084369666
1472,355139084629754
1473,355139084398871
1474,355139084405882
1475,355139084402137
1476,355139084616421
1477,355139084613543
1478,355139084629242
1479,355139084420105
1480,355139084398889
1481,355139084623047
1482,355139084623005
1483,355139084399010
1484,355139084373627
1485,355139084403382
1486,355139084625422
1487,355139084616389
1488,355139084403473
1489,355139084406518
1490,355139084629325
1491,355139084407102
1492,355139084398954
1493,355139084403366
1494,355139084405627
1495,355139084616157
1496,355139084405866
1497,355139084402848
1498,355139084622072
1499,355139084417911
1500,355139084403077
1501,355139084405205
1502,355139084414967
1503,355139084414579
1504,355139084615951
1505,355139084622981
1506,355139084416434
1507,355139084402582
1508,355139084405098
1509,355139084403127
1510,355139084414546
1511,355139084623211
1512,355139084404638
1513,355139084399226
1514,355139084405171
1515,355139084616025
1516,355139084405361
1517,355139084404562
1518,355139084398798
1519,355139084410510
1520,355139084406492
1521,355139084416350
1522,355139084398921
1523,355139084622999
1524,355139084416301
1525,355139084405064
1526,355139084398863
1527,355139084407003
1528,355139084403291
1529,355139084403168
1530,355139084404695
1531,355139084406534
1532,355139084408126
1533,355139084398723
1534,355139084623013
1535,355139084403432
1536,355139084413605
1537,355139084623021
1538,355139084416632
1539,355139084402814
1540,355139084373189
1541,355139084414819
1542,355139084402723
1543,355139084403226
1544,355139084405080
1545,355139084372553
1546,355139084415857
1547,355139084415691
1548,355139084401816
1549,355139084372702
1550,355139084406922
1551,355139084373668
1552,355139084403911
1553,355139084404679
1554,355139084415832
1555,355139084404802
1556,355139084405197
1557,355139084405494
1558,355139084405155
1559,355139084415659
1560,355139084404760
1561,355139084630059
1562,355139084405510
1563,355139084398830
1564,355139084373692
1565,355139084373700
1566,355139084406898
1567,355139084398780
1568,355139084373916
1569,355139084406831
1570,355139084415808
1571,355139084401782
1572,355139084374146
1573,355139084406252
1574,355139084405023
1575,355139084402145
1576,355139084398749
1577,355139084369948
1578,355139084415667
1579,355139084373759
1580,355139084373072
1581,355139084415022
1582,355139084398715
1583,355139084398897
1584,355139084398970
1585,355139084414645
1586,355139084405817
1587,355139084405619
1588,355139084410650
1589,355139084366407
1590,355139084403143
1591,355139084415766
1592,355139084414462
1593,355139084409629
1594,355139084418364
1595,355139084410577
1596,355139084402889
1597,355139084406377
1598,355139083977600
1599,355139084410429
1600,355139084415717
1601,355139084403044
1602,355139084372256
1603,355139084415725
1604,355139084414504
1605,355139084398764
1606,355139084415907
1607,355139084410494
1608,355139084403705
1609,355139084404711
1610,355139084404596
1611,355139084406161
1612,355139084403051
1613,355139084403697
1614,355139084399119
1615,355139084414637
1616,355139084415758
1617,355139084413431
1618,355139084406625
1619,355139084403069
1620,355139084402228
1621,355139084415923
1622,355139084403325
1623,355139084413704
1624,355139084402673
1625,355139084398806
1626,355139084366365
1627,355139084398848
1628,355139084369930
1629,355139084415071
1630,355139084408993
1631,355139084414710
1632,355139084366464
1633,355139084403093
1634,355139084405932
1635,355139084399044
1636,355139084415915
1637,355139084415063
1638,355139084401972
1639,355139084402657
1640,355139084416236
1641,355139084415105
1642,355139084417283
1643,355139084417929
1644,355139084417473
1645,355139084414439
1646,355139084373858
1647,355139084415709
1648,355139084415139
1649,355139084399077
1650,355139084398756
1651,355139084410668
1652,355139084404661
1653,355139084366282
1654,355139084413449
1655,355139084403408
1656,355139084415683
1657,355139084415121
1658,355139084372207
1659,355139084414702
1660,355139084413662
1661,355139084405452
1662,355139084410437
